type,maturity,coupon,bid,ask,price,ytm,ttm_years,id
note,2028-07-31,0.0425,99.8125,99.84375,99.84375,0.0433,1.9274469541409993,N20280731_42
note,2028-08-15,0.0288,97.25,97.28125,97.28125,0.0434,1.9685147159479808,N20280815_29
note,2028-08-15,0.0363,98.625,98.65625,98.65625,0.0434,1.9685147159479808,N20280815_36
note,2028-08-15,0.055,102.0625,102.09375,102.09375,0.0436,1.9685147159479808,N20280815_55
note,2028-08-31,0.0113,93.84375,93.875,93.875,0.0435,2.0123203285420943,N20280831_11
note,2028-08-31,0.041299999999999996,99.5625,99.59375,99.59375,0.0434,2.0123203285420943,N20280831_41
note,2028-08-31,0.0438,100.03125,100.0625,100.0625,0.0434,2.0123203285420943,N20280831_44
note,2028-09-15,0.0338,98.09375,98.125,98.125,0.0435,2.0533880903490758,N20280915_34
note,2028-09-30,0.0125,93.84375,93.875,93.875,0.0436,2.0944558521560577,N20280930_12
note,2028-09-30,0.0463,100.5,100.53125,100.53125,0.0435,2.0944558521560577,N20280930_46
note,2028-10-15,0.035,98.25,98.28125,98.28125,0.0436,2.135523613963039,N20281015_35
note,2028-10-31,0.0138,93.84375,93.875,93.875,0.0437,2.1793292265571527,N20281031_14
note,2028-10-31,0.048799999999999996,101.03125,101.0625,101.0625,0.0435,2.1793292265571527,N20281031_49
note,2028-11-15,0.0313,97.375,97.40625,97.40625,0.0436,2.220396988364134,N20281115_31
note,2028-11-15,0.035,98.15625,98.1875,98.1875,0.0437,2.220396988364134,N20281115_35
note,2028-11-15,0.0525,101.8125,101.84375,101.84375,0.0436,2.220396988364134,N20281115_52
note,2028-11-30,0.015,93.875,93.90625,93.90625,0.0437,2.2614647501711156,N20281130_15
note,2028-11-30,0.0438,100.0,100.03125,100.03125,0.0436,2.2614647501711156,N20281130_44
note,2028-12-15,0.035,98.09375,98.125,98.125,0.0437,2.302532511978097,N20281215_35
note,2028-12-31,0.0138,93.375,93.40625,93.40625,0.0437,2.346338124572211,N20281231_14
note,2028-12-31,0.0375,98.59375,98.625,98.625,0.0437,2.346338124572211,N20281231_38
note,2029-01-15,0.035,98.0,98.03125,98.03125,0.0438,2.3874058863791925,N20290115_35
note,2029-01-31,0.0175,94.0,94.03125,94.03125,0.0438,2.431211498973306,N20290131_18
note,2029-01-31,0.04,99.09375,99.125,99.125,0.0438,2.431211498973306,N20290131_40
note,2029-02-15,0.0263,95.90625,95.9375,95.9375,0.0438,2.4722792607802875,N20290215_26
note,2029-02-15,0.035,97.9375,97.96875,97.96875,0.0438,2.4722792607802875,N20290215_35
note,2029-02-15,0.0525,102.1875,102.21875,102.21875,0.0429,2.4722792607802875,N20290215_52
note,2029-02-28,0.018799999999999997,94.125,94.15625,94.15625,0.0437,2.507871321013005,N20290228_19
note,2029-02-28,0.0425,99.6875,99.71875,99.71875,0.0437,2.507871321013005,N20290228_42
note,2029-03-15,0.035,97.875,97.90625,97.90625,0.0438,2.5489390828199863,N20290315_35
note,2029-03-31,0.023799999999999998,95.09375,95.125,95.125,0.043899999999999995,2.5927446954141,N20290331_24
note,2029-03-31,0.041299999999999996,99.34375,99.375,99.375,0.0438,2.5927446954141,N20290331_41
note,2029-04-15,0.0388,98.71875,98.75,98.75,0.0438,2.6338124572210813,N20290415_39
note,2029-04-30,0.0288,96.1875,96.21875,96.21875,0.043899999999999995,2.674880219028063,N20290430_29
note,2029-04-30,0.0463,100.5625,100.59375,100.59375,0.0438,2.674880219028063,N20290430_46
note,2029-05-15,0.023799999999999998,94.875,94.90625,94.90625,0.0438,2.7159479808350446,N20290515_24
note,2029-05-15,0.0388,98.65625,98.6875,98.6875,0.043899999999999995,2.7159479808350446,N20290515_39
note,2029-05-31,0.0275,95.75,95.78125,95.78125,0.043899999999999995,2.759753593429158,N20290531_28
note,2029-05-31,0.045,100.25,100.28125,100.28125,0.043899999999999995,2.759753593429158,N20290531_45
note,2029-06-15,0.041299999999999996,99.28125,99.3125,99.3125,0.043899999999999995,2.8008213552361396,N20290615_41
note,2029-06-30,0.0325,96.9375,96.96875,96.96875,0.044000000000000004,2.841889117043121,N20290630_32
note,2029-06-30,0.0425,99.5625,99.59375,99.59375,0.044000000000000004,2.841889117043121,N20290630_42
note,2029-07-15,0.041299999999999996,99.25,99.28125,99.28125,0.044000000000000004,2.8829568788501025,N20290715_41
note,2029-07-31,0.0263,95.15625,95.1875,95.1875,0.044000000000000004,2.926762491444216,N20290731_26
note,2029-07-31,0.04,98.875,98.90625,98.90625,0.044000000000000004,2.926762491444216,N20290731_40
note,2029-08-15,0.0163,92.40625,92.4375,92.4375,0.0438,2.967830253251198,N20290815_16
note,2029-08-15,0.0425,99.5625,99.59375,99.59375,0.044000000000000004,2.967830253251198,N20290815_42
note,2029-08-15,0.0613,104.71875,104.75,104.75,0.043899999999999995,2.967830253251198,N20290815_61
note,2029-08-31,0.0313,96.40625,96.4375,96.4375,0.044000000000000004,3.0116358658453115,N20290831_31
note,2029-08-31,0.0363,97.78125,97.8125,97.8125,0.0441,3.0116358658453115,N20290831_36
note,2029-09-30,0.035,97.375,97.40625,97.40625,0.0441,3.0937713894592744,N20290930_35
note,2029-09-30,0.0388,98.4375,98.46875,98.46875,0.0441,3.0937713894592744,N20290930_39
note,2029-10-31,0.04,98.75,98.78125,98.78125,0.0441,3.1786447638603694,N20291031_40
note,2029-10-31,0.041299999999999996,99.09375,99.125,99.125,0.044199999999999996,3.1786447638603694,N20291031_41
note,2029-11-15,0.0175,92.09375,92.15625,92.15625,0.044000000000000004,3.2197125256673513,N20291115_18
note,2029-11-30,0.0388,98.3125,98.375,98.375,0.044199999999999996,3.260780287474333,N20291130_39
note,2029-11-30,0.041299999999999996,99.0625,99.09375,99.09375,0.044199999999999996,3.260780287474333,N20291130_41
note,2029-12-31,0.0388,98.25,98.3125,98.3125,0.0443,3.345653661875428,N20291231_39
note,2029-12-31,0.0438,99.8125,99.875,99.875,0.044199999999999996,3.345653661875428,N20291231_44
note,2030-01-31,0.035,97.03125,97.0625,97.0625,0.0443,3.430527036276523,N20300131_35
note,2030-01-31,0.0425,99.375,99.4375,99.4375,0.0443,3.430527036276523,N20300131_42
note,2030-02-15,0.015,90.6875,90.71875,90.71875,0.044199999999999996,3.4715947980835042,N20300215_15
note,2030-02-28,0.04,98.59375,98.65625,98.65625,0.044199999999999996,3.5071868583162216,N20300228_40
note,2030-03-31,0.0363,97.28125,97.34375,97.34375,0.0443,3.592060232717317,N20300331_36
note,2030-03-31,0.04,98.53125,98.59375,98.59375,0.0443,3.592060232717317,N20300331_40
note,2030-04-30,0.035,96.8125,96.875,96.875,0.0443,3.67419575633128,N20300430_35
note,2030-04-30,0.0388,98.09375,98.125,98.125,0.0443,3.67419575633128,N20300430_39
note,2030-05-15,0.0063,87.03125,87.09375,87.09375,0.0444,3.7152635181382614,N20300515_6
note,2030-05-15,0.0625,106.0625,106.125,106.125,0.0444,3.7152635181382614,N20300515_62
note,2030-05-31,0.0375,97.59375,97.625,97.625,0.0444,3.759069130732375,N20300531_38
note,2030-05-31,0.04,98.4375,98.5,98.5,0.0444,3.759069130732375,N20300531_40
note,2030-06-30,0.0375,97.53125,97.5625,97.5625,0.044500000000000005,3.8412046543463383,N20300630_38
